item_id,avg_rating,pop_count
225877,1.383409385024334,1
312728,2.8709251851938675,37
451024,1.6876952919538855,1
285608,2.8137662154836454,1
8641,1.6755031770963136,3
120471,1.9240028540895233,1
414914,1.9008796340177587,2
271537,2.911340192161385,3
375705,2.0520123289304637,1
137305,1.8779504692108573,2
241716,1.3571973060452585,1
220202,2.7811349259147917,2
348154,2.348663940330482,1
214617,2.6403416634661134,3
384647,1.0229240117608347,1
61303,2.3462340921580185,4
17379,2.7716535688781625,3
449559,1.8470262714760464,4
283693,1.5706875959816886,2
202168,1.1804835495369739,2
65995,1.1301029147721153,1
322551,1.3780471334611808,2
183049,1.3530746875182087,1
203817,1.573667261537198,1
287536,1.9136227937399497,2
233200,2.8858083247906507,3
408305,5.552390919612815,1
75509,2.815759266148335,1
155544,3.2977489520617587,2
31791,3.2263803253770837,6
394548,1.2302546482571337,1
413313,1.8641716684022531,1
247396,1.5908820722933106,2
10785,2.420052968615145,1
126247,2.248907589133601,2
446934,1.8733388353558105,5
259078,1.566149490549569,5
445860,2.6031241148184447,2
350399,2.4205458012353156,1
20968,3.7053928801475196,5
312852,2.371447251163146,1
422647,1.1557538900014181,1
237448,1.2665081279811214,1
296536,2.0345976587748043,4
215363,2.3333741632214324,6
300068,1.811268794850957,1
181687,1.5315476756784185,1
305010,2.322254635927675,1
73760,2.8789806944396332,2
20981,2.0647178549204748,1
135864,1.8540625126183603,3
304745,3.8693707077541837,1
445105,2.219175447617948,8
437441,2.389948425608104,1
356457,1.2895379186788118,1
232824,1.3000266761648702,1
194596,1.1879303485500547,1
222556,2.6298555174297333,1
66737,1.822863609342123,4
278679,2.467671305193247,8
208939,2.8206176219340904,9
319160,3.0022329291886876,1
269773,2.9037471393065104,2
179749,2.549880847243404,2
298419,2.550215545156991,1
411575,1.9726742868692857,2
152600,3.9452109380053204,1
372442,3.5908241991013408,2
350764,3.0722338832723763,2
344723,2.3270995582316103,3
41932,2.5203921550265047,1
285221,4.896209442002637,1
119467,1.1060462753284088,1
437320,1.963118508326891,1
172842,2.669772506549368,2
125318,1.7056772705564656,1
268755,2.81550429441409,7
248718,2.2566881991679537,1
181830,2.419870167687308,1
389572,1.9532637589675905,2
360549,1.6854153457224998,1
