user_id,item_id,pred_score
264,459835,3.978283
264,161949,3.8976974
264,314074,3.342618
264,57810,3.254774
264,373877,3.2466283
264,259669,3.1877708
264,335454,3.1620169
264,302643,3.115992
264,8724,3.0599923
264,314076,3.04949
419,19278,3.9411285
419,353548,3.6814566
419,111912,3.6343107
419,252340,3.2830834
419,224295,3.267324
419,64154,3.1702604
419,4215,3.147921
419,409876,3.1128602
419,349453,3.0981064
419,214357,3.0981064
627,414182,3.9349978
627,345135,3.4906254
627,205646,3.377182
627,458526,3.2678502
627,293799,3.267065
627,214495,3.267065
627,278679,3.2281992
627,435002,3.2269502
627,286217,3.2269502
627,456684,3.1790915
914,382946,3.9433002
914,243376,3.499748
914,145403,3.4452415
914,284871,3.4189062
914,97661,3.405303
914,212438,3.3521261
914,424421,3.269924
914,422905,3.2164483
914,133907,3.2128162
914,247306,3.200295
1032,243949,3.947555
1032,463280,3.2166715
1032,139936,3.1959224
1032,369924,3.1807559
1032,405694,3.15083
1032,241612,3.0841627
1032,250273,3.074914
1032,329028,3.0504906
1032,141424,3.0113635
1032,238059,2.9809728
1636,449639,3.9349976
1636,283386,3.4579103
1636,396526,3.422019
1636,394099,3.422019
1636,233695,3.3969364
1636,159624,3.3669615
1636,167143,3.3503706
1636,187691,3.3160894
1636,415884,3.299102
1636,114763,3.2626746
2519,413125,3.9433908
2519,42002,3.4283419
2519,259078,3.3054757
2519,99675,3.276837
2519,338262,3.2759342
2519,268659,3.2759342
2519,256655,3.2759342
2519,397692,3.1680117
2519,138434,3.1399913
2519,212743,3.1065578
2646,360487,3.9529612
2646,248711,3.5878112
2646,97437,3.5878112
2646,276704,3.5271907
2646,108021,3.4803545
2646,168224,3.195266
2646,321089,3.1240103
2646,241752,3.118208
2646,417927,3.1150396
2646,211592,3.0732234
3258,19278,3.962622
3258,353548,3.9132795
3258,111912,3.6979039
3258,252340,3.4179635
3258,319680,3.3328078
3258,64154,3.3294928
3258,224295,3.2522054
3258,4215,3.1808643
3258,284394,3.1637964
3258,274225,3.1259015
3465,448453,4.042288
3465,123548,4.0284433
3465,344071,3.9935982
3465,114485,3.9490733
3465,8523,3.9149184
3465,243566,3.9116602
3465,85914,3.9113195
3465,57788,3.8931725
3465,264179,3.8720539
3465,11663,3.8569117
3896,407518,3.9349976
3896,47647,3.6033974
3896,309372,3.5897315
3896,221550,3.5897315
3896,98893,3.4903545
3896,212767,3.4570813
3896,338307,3.4554944
3896,365832,3.3528533
3896,408103,3.336142
3896,390092,3.336142
3926,335331,3.9661758
3926,323347,3.920185
3926,187379,3.920185
3926,284871,3.5456944
3926,348495,3.4937458
3926,193182,3.4033332
3926,266439,3.3589475
3926,101960,3.3213453
3926,18573,3.288865
3926,460188,3.2827826
3936,172894,3.9494815
3936,119736,3.8894043
3936,134191,3.740355
3936,456056,3.607909
3936,268335,3.6042197
3936,168111,3.5762784
3936,399192,3.5743442
3936,414654,3.553582
3936,237019,3.5456214
3936,17478,3.538487
4061,69754,3.934998
4061,74296,3.4461207
4061,315405,3.3679724
4061,185303,3.332584
4061,7134,3.3098454
4061,242314,3.2591803
4061,105870,3.2591803
4061,16344,3.2506666
4061,57810,3.236764
4061,364640,3.2184703
4101,104752,3.9382703
4101,400859,3.9375281
4101,290207,3.421392
4101,181762,3.384397
4101,63652,3.384397
4101,260141,3.1897323
4101,333183,3.1221423
4101,400969,3.1042876
4101,380775,3.1042876
4101,317178,3.1042876
4241,208450,4.0731945
4241,336319,4.0590177
4241,94437,4.008642
4241,206218,3.9980063
4241,100282,3.9370189
4241,340794,3.9344823
4241,170262,3.894877
4241,291964,3.8927617
4241,65273,3.8585274
4241,461520,3.8506591
4899,46156,3.943171
4899,182086,3.6990294
4899,204209,3.6754293
4899,266085,3.663068
4899,17478,3.6482325
4899,116624,3.6158867
4899,303161,3.6030774
4899,399192,3.5838866
4899,442837,3.5711508
4899,134191,3.5521655
5061,222642,3.9412198
5061,102209,3.941054
5061,42593,3.463954
5061,259147,3.4048388
5061,448057,3.3197896
5061,353686,3.296938
5061,177637,3.2392218
5061,83840,3.2363234
5061,208888,3.0888987
5061,406700,3.053695
5117,201816,4.1435575
5117,177636,4.1075068
5117,114121,4.1075068
5117,6913,3.9899912
5117,57577,3.9867737
5117,369158,3.9747186
5117,241061,3.9349978
5117,230911,3.9018335
5117,420960,3.855586
5117,301721,3.8419144
5703,186214,3.938559
5703,295495,3.9379053
5703,331381,3.8386383
5703,348949,3.7981546
5703,400644,3.476841
5703,388333,3.476841
5703,127688,3.476841
5703,42841,3.476841
5703,288105,3.4361858
5703,331114,3.399007
5939,379294,3.9440935
